Metal,Technology,Market,Reference Product,Location,Scenario,2022,2025,2030,2035,2040,2045,2050
Aluminium,Electricity Networks,"market for aluminium, wrought alloy (SM)","aluminium, wrought alloy",World,NZE,10357000000.0,12423.0,17872000000.0,22818.0,26403000000.0,25148.0,20759000000.0
Arsenic,Solar PV,market for arsine,arsine,GLO,NZE,0.0,0.0,436136.0,2.506,13811300.0,11.2171,12544300.0
Boron,Wind,market for boric oxide,boric oxide,GLO,NZE,158618.0,0.282352,731090.0,0.72847,691595.0,0.472797,746079.0
Cadmium,Solar PV,"market for cadmium, semiconductor-grade","cadmium, semiconductor-grade",GLO,NZE,420843.0,0.770334,1224040.0,1.13261,954223.0,0.598829,431189.0
Chromium,Wind,"market for ferrochromium, high-carbon, 68% Cr","ferrochromium, high-carbon, 68% Cr",GLO,NZE,50316000.0,90.7843,194749000.0,184.31,150320000.0,104.515,155083000.0
Cobalt,Battery Storage,market for cobalt sulfate (SM),cobalt sulfate,World,NZE,3588530.0,6.22965,17021100.0,17.7203,14437600.0,6.95082,0.0
Cobalt,EV,market for cobalt sulfate (SM),cobalt sulfate,World,NZE,64560599.99999999,130.418,187993000.0,230.828,243972000.0,278.214,290557000.0
Cobalt,Hydrogen,market for cobalt sulfate (SM),cobalt sulfate,World,NZE,10734.6,0.151101,302067.0,0.205945,80791.9,0.0554191,75869.0
Copper,Battery Storage,"market for copper, cathode (SM)","copper, cathode",World,NZE,20446800.0,77.495,258151000.0,440.859,685316000.0,733.83,665157000.0
Copper,Electricity Networks,"market for copper, cathode (SM)","copper, cathode",World,NZE,4181609999.9999995,5024.26,8923600000.0,11444.5,12574400000.0,11756.9,9777840000.0
Copper,EV,"market for copper, cathode (SM)","copper, cathode",World,NZE,373331000.0,1152.05,2703910000.0,3799.47,3883620000.0,3897.36,3582920000.0
Copper,Solar PV,"market for copper, cathode (SM)","copper, cathode",World,NZE,681645000.0,1258.76,1990300000.0,2062.5,2026350000.0,1673.7,1879780000.0
Copper,Wind,"market for copper, cathode (SM)","copper, cathode",World,NZE,393792000.0,704.908,1630040000.0,1542.65,1327880000.0,881.422,1303250000.0
Dysprosium,EV,market for dysprosium oxide,dysprosium oxide,GLO,NZE,412567.0,1.33044,2611470.0,3.45096,3350600.0,3.62476,3707260.0
Dysprosium,Wind,market for dysprosium oxide,dysprosium oxide,GLO,NZE,628063.0,1.10491,2585710.0,2.44984,2126890.0,1.40322,2071489.9999999998
Ferromanganese,EV,"market for ferromanganese, high-coal, 74.5% Mn","ferromanganese, high-coal, 74.5% Mn",GLO,NZE,37684800.0,56.4515,188966000.0,408.1925,563065000.0,783.06,963365000.0
