Metal,Technology,Market,Reference Product,Location,Scenario,2022,2030,2035,2040,2045,2050
Aluminium,Electricity Networks,"market for aluminium, wrought alloy (SM)","aluminium, wrought alloy",World,SPS,10773333333.333334,14527000000.0,14482000000.0,14174000000.0,14943000000.0,14343000000.0
Arsenic,Solar PV,market for arsine,arsine,GLO,SPS,0.0,343221.0,1976740.0,10945800.0,11461500.0,12565100.0
Boron,Wind,market for boric oxide,boric oxide,GLO,SPS,206005.0,401025.0,349539.0,292967.0,331853.0,466954.0
Cadmium,Solar PV,"market for cadmium, semiconductor-grade","cadmium, semiconductor-grade",GLO,SPS,670000.0,660000.0,680000.0,670000.0,680000.0,720000.0
Cadmium,Other low emissions power generation,"market for cadmium, semiconductor-grade","cadmium, semiconductor-grade",GLO,SPS,20000.0,30000.0,20000.0,10000.0,20000.0,20000.0
Chromium,Wind,"market for ferrochromium, high-carbon, 68% Cr","ferrochromium, high-carbon, 68% Cr",GLO,SPS,63273700.0,88412600.0,78892300.0,69503600.0,77451800.0,97374400.0
Chromium,Other low emissions power generation,"market for ferrochromium, high-carbon, 68% Cr","ferrochromium, high-carbon, 68% Cr",GLO,SPS,148756300.0,295403400.0,222601700.0,246772400.0,250290200.0,224666600.0
Cobalt,Low emissions power generation,market for cobalt sulfate (SM),cobalt sulfate,World,SPS,16494.5,28895.2,13556.6,16180.400000000001,17134.6,19779.5
Cobalt,Electric vehicles,market for cobalt sulfate (SM),cobalt sulfate,World,SPS,61840900.0,150718000.0,160685000.0,187206000.0,203124000.0,216036000.0
Cobalt,Grid battery storage,market for cobalt sulfate (SM),cobalt sulfate,World,SPS,2527830.0,4134460.0,3265340.0,0.0,0.0,0.0
Cobalt,Hydrogen technologies,market for cobalt sulfate (SM),cobalt sulfate,World,SPS,5114.030000000001,4095.54,4519.73,3567.9900000000002,3431.21,4695.07
Copper,Solar PV,"market for copper, cathode (SM)","copper, cathode",World,SPS,1208230000.0,1691180000.0,1727660000.0,1683970000.0,1772880000.0,1958850000.0
Copper,Wind,"market for copper, cathode (SM)","copper, cathode",World,SPS,501618000.0,803565000.0,691799000.0,579893000.0,626262000.0,804512000.0
Copper,Other low emissions power generation,"market for copper, cathode (SM)","copper, cathode",World,SPS,82822000.0,123154999.999999,80941000.0,82856999.9999997,107787999.999999,103817999.999999
Copper,Electric vehicles,"market for copper, cathode (SM)","copper, cathode",World,SPS,395950000.0,1644590000.0,2594140000.0,3131080000.0,3286870000.0,3470400000.0
Copper,Grid battery storage,"market for copper, cathode (SM)","copper, cathode",World,SPS,39596600.0,175747000.0,260281999.99999997,380677000.0,454317000.0,544674000.0
Copper,Electricity networks,"market for copper, cathode (SM)","copper, cathode",World,SPS,4143479999.9999995,6103960000.0,6168150000.0,6125220000.0,6312070000.0,6084430000.0
